client_id,clnt_tenure_yr,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,bal_category,account_since_child
2330017,7,42,U,3,64416.34,1,4,medio,no
2330172,9,30,F,2,41470.62,5,8,medio,no
2330451,15,43,F,2,55406.47,0,3,medio,no
2330564,6,32,U,2,60262.56,2,5,medio,no
2331081,21,66,F,3,393652.46,4,7,alto,no
2331309,16,34,M,3,200213.79,6,9,alto,no
2331608,13,69,M,2,1009576.12,5,8,alto,no
2331613,4,61,U,2,173988.59999999998,5,8,alto,no
2331634,10,51,F,2,59454.3,0,3,medio,no
2331726,14,29,F,6,1109913.48,5,8,alto,yes
2331782,15,55,F,3,115493.99,5,8,medio,no
2332011,15,64,F,2,35390.85,0,3,bajo,no
2332019,5,65,U,4,171687.56,6,9,alto,no
2332122,6,46,U,2,38711.84,5,8,medio,no
2332428,13,54,M,3,177808.2,6,9,alto,no
2333006,21,34,M,2,37947.75,1,4,medio,yes
2333118,24,74,F,3,413325.24,3,6,alto,no
2333169,24,64,M,3,128891.03,6,9,medio,no
2333398,4,63,U,2,27083.1,3,6,bajo,no
2333654,14,64,F,2,38048.52,1,4,medio,no
2333713,14,48,M,2,116931.56,4,7,medio,no
2333786,19,44,M,2,173859.52000000002,0,3,alto,no
2334179,16,61,F,3,99695.91,0,3,medio,no
2334273,6,70,U,2,42963.12,0,3,medio,no
2334881,7,35,U,2,60884.5,2,5,medio,no
2334903,7,48,U,2,40110.19,1,4,medio,no
2335093,9,62,M,2,23790.24,3,6,bajo,no
2335155,26,50,M,3,374756.67,1,4,alto,no
2335590,12,30,F,2,123779.64,0,3,medio,no
2335669,5,59,U,2,42549.99,6,9,medio,no
2335724,4,46,U,2,89208.51999999999,4,7,medio,no
2335870,14,72,F,2,45863.73,0,3,medio,no
2336012,12,52,M,2,40080.99,5,8,medio,no
2336104,5,38,F,2,39550.56,6,9,medio,no
2336280,6,46,U,3,43869.53999999999,0,3,medio,no
2336436,17,55,M,2,312387.9,6,9,alto,no
2336651,7,26,U,2,71009.93,0,3,medio,no
2336764,5,61,M,2,405366.55,6,9,alto,no
2336769,5,33,U,2,51234.33,1,5,medio,no
2336869,9,48,F,2,27030.51,0,3,bajo,no
2336977,5,50,U,2,35798.759999999995,2,5,bajo,no
2337097,9,44,M,2,72727.04000000001,6,9,medio,no
2337117,10,36,F,2,30457.08,1,4,bajo,no
2337162,12,37,F,2,44300.65,3,6,medio,no
2337168,19,63,M,2,35146.82,6,9,bajo,no
2337192,7,32,M,3,179098.09999999998,3,6,alto,no
2337547,17,54,F,2,232510.81,0,6,alto,no
2337837,15,35,M,3,155539.74,6,9,alto,no
2337961,12,41,F,2,118058.93,6,9,medio,no
2338216,14,68,M,2,87537.68,5,8,medio,no
2338296,6,26,U,3,53522.9,5,8,medio,no
2338344,9,29,F,2,83767.2,2,5,medio,no
2338427,5,48,U,2,34707.94,2,5,bajo,no
2338448,6,27,F,2,48210.85,2,5,medio,no
2339091,10,71,M,2,135862.21,2,5,medio,no
2339126,7,30,U,2,80329.11,3,6,medio,no
2339127,14,45,M,2,727960.03,6,9,alto,no
2339348,18,85,F,2,101211.05,2,5,medio,no
2339876,29,82,F,3,243989.31,6,9,alto,no
2340168,5,28,U,2,34679.85,2,5,bajo,no
2340487,4,31,U,2,30718.2,1,4,bajo,no
2340754,7,55,U,2,39673.16,3,6,medio,no
2340830,12,50,F,2,73857.86,1,4,medio,no
